549935,549935,22.3304938635,114.1795260841,10.7691262863
549936,549936,22.3304938139,114.1795260946,10.7501628036
549937,549937,22.3304938401,114.1795261058,10.7598385957
549938,549938,22.3304938872,114.1795260171,10.7631175924
549939,549939,22.3304938516,114.1795261403,10.7525206952
549940,549940,22.3304938468,114.1795260646,10.7691616657
549941,549941,22.3304938585,114.1795261823,10.7496737889
549942,549942,22.3304938460,114.1795261505,10.7518620338
549943,549943,22.3304938617,114.1795260873,10.7565492981
549944,549944,22.3304939008,114.1795259281,10.7875528502
549945,549945,22.3304938666,114.1795260723,10.7461247976
549946,549946,22.3304938326,114.1795259990,10.7667319738
549947,549947,22.3304938235,114.1795261057,10.7452364323
549948,549948,22.3304938141,114.1795259748,10.7680500115
549949,549949,22.3304939160,114.1795259003,10.7872107154
549950,549950,22.3304938451,114.1795260465,10.7609106912
549951,549951,22.3304915244,114.1795352360,10.7031226508
549952,549952,22.3304898261,114.1795398188,9.9936211008
549953,549953,22.3304941471,114.1795215446,16.5490269383
549954,549954,22.3304960630,114.1795245635,15.9077371682
549955,549955,22.3305003524,114.1795189797,16.7094953831
549956,549956,22.3305017778,114.1795171032,17.1394564744
549957,549957,22.3305017837,114.1795174892,17.2751307345
549958,549958,22.3305028118,114.1795161328,17.5232074983
549959,549959,22.3305035705,114.1795179723,16.8900599361
549960,549960,22.3305147556,114.1795114582,16.7486706399
549961,549961,22.3305338930,114.1795071425,16.3767143279
549962,549962,22.3305583335,114.1795031616,18.5724056904
549963,549963,22.3305892569,114.1795044653,17.1048181407
549964,549964,22.3306271619,114.1795044921,16.3519519026
549965,549965,22.3306693744,114.1795146063,13.6435840250
549966,549966,22.3307148039,114.1795163909,13.2864235904
549967,549967,22.3307627587,114.1795214501,15.4115850391
549968,549968,22.3307992754,114.1795140104,13.0409141777
549969,549969,22.3308366583,114.1795209533,12.0562775023
549970,549970,22.3308744815,114.1795221531,13.2767617943
549971,549971,22.3309111342,114.1795216716,14.2341425521
549972,549972,22.3309479254,114.1795397121,8.9100767105
549973,549973,22.3309929967,114.1795272207,13.6187499545
549974,549974,22.3310352402,114.1795329404,12.2196810211
549975,549975,22.3310754434,114.1795353346,9.5327149266
549976,549976,22.3311159602,114.1795439807,10.4298337946
549977,549977,22.3311557836,114.1795548352,8.5406971862
549978,549978,22.3312014325,114.1795373669,14.0914231263
549979,549979,22.3312478661,114.1795395921,16.3114687556
549980,549980,22.3312952386,114.1795430899,16.0119435678
549981,549981,22.3313440204,114.1795487812,15.6696211402
549982,549982,22.3313923270,114.1795535665,14.7772859918
549983,549983,22.3314430161,114.1795607248,14.6188218688
549984,549984,22.3314958856,114.1795636928,14.5834709208
549985,549985,22.3315491883,114.1795697565,14.9499463388
549986,549986,22.3316038800,114.1795785546,15.9951803046
549987,549987,22.3316546006,114.1795790642,18.4530749258
549988,549988,22.3317056033,114.1795827385,17.9362472124
549989,549989,22.3317547144,114.1795808892,20.3610095115
549990,549990,22.3318018616,114.1795866673,19.2154072117
549991,549991,22.3318458395,114.1795893393,19.1546328886
549992,549992,22.3318828186,114.1795956240,18.8176943539
549993,549993,22.3319123512,114.1796079688,18.1349314900
549994,549994,22.3319338482,114.1796211754,17.0636911620
549995,549995,22.3319457398,114.1796424391,17.5064284321
549996,549996,22.3319512456,114.1796670493,17.9351482580
549997,549997,22.3319514507,114.1796993641,15.7322635301
549998,549998,22.3319515025,114.1797383790,14.8694684239
549999,549999,22.3319538945,114.1797822668,15.1117694621
550000,550000,22.3319603706,114.1798244254,17.5818751229
550001,550001,22.3319584474,114.1798703607,18.0195944685
550002,550002,22.3319545164,114.1799179854,17.1920305426
550003,550003,22.3319528804,114.1799664781,17.1504908048
550004,550004,22.3319492073,114.1800192876,17.1636712570
550005,550005,22.3319454759,114.1800739331,16.7486727790
550006,550006,22.3319410629,114.1801258006,16.2655068863
550007,550007,22.3319385015,114.1801765712,16.7014244402
550008,550008,22.3319361305,114.1802268708,17.1816250950
550009,550009,22.3319344060,114.1802785778,17.7003695939
550010,550010,22.3319323144,114.1803288385,18.1213644234
550011,550011,22.3319298290,114.1803772090,17.9546011466
550012,550012,22.3319274302,114.1804251424,18.2479595633
550013,550013,22.3319236953,114.1804725644,18.3048734210
550014,550014,22.3319203150,114.1805191891,18.1290395348
550015,550015,22.3319158730,114.1805661632,16.7865409482
550016,550016,22.3319142968,114.1806078046,15.9721788850
550017,550017,22.3319118166,114.1806518530,17.2317071302
550018,550018,22.3319106319,114.1806896188,17.0753221868
550019,550019,22.3319105676,114.1807268423,16.9397648454
550020,550020,22.3319110118,114.1807636767,18.2832103225
550021,550021,22.3319082056,114.1807928627,18.5546765099
550022,550022,22.3318995853,114.1808144610,17.8845410602
550023,550023,22.3318870524,114.1808365043,18.3072755040
550024,550024,22.3318698017,114.1808459376,17.9668087341
550025,550025,22.3318477626,114.1808483316,13.9078581918
550026,550026,22.3318303187,114.1808542330,15.0886765311
550027,550027,22.3318120935,114.1808570593,16.8613069431
550028,550028,22.3317910729,114.1808581967,17.6253656259
550029,550029,22.3317671975,114.1808574981,18.3572223998
550030,550030,22.3317344006,114.1808586853,15.8924954721
550031,550031,22.3316925799,114.1808556373,16.7796183834
550032,550032,22.3316521388,114.1808721911,12.7894376714
550033,550033,22.3316140879,114.1808688692,13.9722604205
550034,550034,22.3315759382,114.1808707929,13.0027675782
550035,550035,22.3315338841,114.1808473551,15.6807326977
550036,550036,22.3314977566,114.1808547843,20.1798414260
550037,550037,22.3314565996,114.1808498260,18.9252866339
