365580,8415.2886632373,3653.0779167555,8418.1013925037,3659.0961365921,
365581,8415.2953325676,3653.0768139182,8422.4440591769,3667.2108550647,
365582,8415.3058192398,3653.0646261343,8422.6913532601,3669.0865253818,
365583,8415.3372626741,3653.0702024458,8424.1820989560,3663.1064637396,
365584,8415.3848986396,3653.0680282102,8417.9355862483,3672.8441781678,
365585,8415.5258576268,3653.0703578128,8413.2248607710,3679.4980559691,
365586,8415.9018716918,3653.2081023256,8411.2444106958,3679.1089813440,
365587,8416.3568551588,3653.5377528631,8415.6746619390,3677.1721436408,
365588,8416.4606100346,3653.6298666164,8421.8489784360,3657.2300101847,
365590,8416.4596516820,3653.6553732424,8421.1370363289,3657.7584946066,
365591,8416.2912330716,3653.4745221651,8420.0017523643,3657.6364866680,
365593,8415.1143075054,3653.1964288889,8424.6665562441,3659.4491283726,
365596,8414.2737677682,3653.9430999439,8425.8645137168,3654.8154989896,
365597,8414.2308725747,3653.9951794265,8432.9504704281,3661.9854251883,
365603,8415.6153521091,3653.1724537644,8433.8542153436,3664.9980616288,
365604,8416.1103793908,3653.4788624778,8434.6907803992,3689.8773666200,
365605,8416.2646179911,3653.5577088133,8437.2382253291,3673.1857470517,
365606,8416.3274526862,3653.5533108799,8424.0279045415,3669.5955338152,
365608,8416.3160079391,3653.4967294521,8422.9155968993,3668.5108477515,
365609,8416.3331323244,3653.4800976555,8419.2502578358,3660.8408876392,
365611,8416.0684373894,3653.3157720397,8422.0536112596,3663.8052122387,
365612,8416.0055971414,3653.2414194032,8417.9396603257,3669.6327644455,
365614,8415.9427109806,3653.2524496615,8418.4254412382,3675.5647993415,
365615,8415.9341235755,3653.2535452244,8420.5822361648,3663.1919080074,
365617,8415.8931859455,3653.2546292730,8421.6493790261,3655.2489489897,
365618,8415.9503223904,3653.2857260581,8426.6258362226,3649.1479563621,
365621,8415.9312744490,3653.2712925841,8421.0645136363,3649.6550222308,
365622,8415.9655589473,3653.2790823413,8425.3470704319,3642.2548021586,
365624,8415.9931807837,3653.3356703837,8424.5401167241,3642.8796579131,
365625,8415.9751060013,3653.3134828036,8426.5774980102,3639.2045264831,
365629,8415.9025297610,3653.6072610601,8426.3811943776,3639.3808895652,
365630,8416.0291251799,3653.7204586047,8430.5917987883,3632.9732367512,
365632,8416.3275469751,3654.5234250577,8435.2130761683,3633.8100563104,
365633,8416.3653011759,3654.9858123555,8436.5513379156,3631.5845803229,
365635,8416.3842266862,3655.1499248263,8439.8839090444,3633.0845089350,
365636,8416.3519125986,3655.1377286656,8435.9023909446,3635.2444912325,
365639,8416.2976163659,3655.1643013914,8435.5784886064,3638.3708551025,
365640,8416.2928793346,3655.1443442592,8431.0086294636,3634.4277104526,
365643,8416.2995481070,3655.1010942734,8440.9798362137,3631.6450286158,
365644,8416.3175949185,3655.1021961966,8443.1714911148,3636.3995297325,
365645,8416.2879913767,3655.1498312258,8443.1309541155,3634.5513303082,
365647,8416.0133132928,3654.3768008567,8441.4607440287,3632.0662409759,
365648,8415.9829062469,3654.2548033858,8437.7529556251,3642.2206373194,
365650,8415.9419891033,3654.1627295426,8436.4241970902,3647.8785012432,
365651,8415.9667285249,3654.1649570454,8419.2517968609,3661.0008466234,
365653,8416.0304783923,3654.2071270243,8419.0014873455,3661.7038191472,
365654,8416.0342644234,3654.2104470922,8419.3509248579,3666.1384873402,
365657,8416.1605377110,3654.7871199852,8419.1028816643,3667.9033123371,
365658,8416.1453041205,3654.8081836746,8419.4449924741,3669.0826588595,
365662,8416.1300234041,3654.9013201841,8422.6838395106,3660.6875832219,
365663,8416.1243135717,3654.9002085999,8407.9927008193,3675.7877480596,
365665,8416.1423883989,3654.9157414258,8406.2250145133,3673.2974295751,
365666,8416.1405088056,3654.8824770745,8403.0267000620,3667.2862272418,
365668,8416.1025144675,3654.7926523368,8411.0246448208,3664.1508759755,
365669,8415.7730098902,3654.7779884488,8404.7782272623,3663.3233961728,
365675,8410.2333664975,3654.1816073049,8400.5778409860,3661.1149616743,
365676,8409.0716700443,3653.8136831270,8388.9711686475,3660.2286900627,
365677,8407.9033746431,3653.3603806325,8381.6083983490,3656.0196772325,
365678,8406.7313529203,3652.7695797397,8371.8466266993,3652.7585570007,
365680,8404.4494912103,3651.3995951347,8371.4279830386,3651.0508006139,
365681,8403.2851470565,3650.8032805684,8373.7346523978,3644.5664122328,
365683,8400.9289367552,3649.5208337468,8372.3911726563,3641.8603014324,
365684,8399.8304080181,3648.7981737083,8374.5225574459,3634.0957148168,
365690,8393.2327911621,3643.9055268910,8374.0985786386,3633.1901878966,
365691,8392.1428655589,3643.0930491990,8368.3014796255,3635.5099983823,
365692,8391.0663115420,3642.2484339021,8368.6600926358,3633.8696653339,
365693,8389.9535650319,3641.4293001025,8364.2049189094,3630.7249391287,
365695,8387.7022500995,3639.8142581257,8367.7402303434,3627.1817956351,
365696,8386.5723295741,3638.9496239727,8366.9367471223,3626.6020645898,
365698,8384.5021761376,3637.1118783947,8364.2184009034,3628.7356409502,
365699,8383.4561376207,3636.2307037091,8368.8736677407,3623.7526821910,
