545204,545204,22.3041220511,114.1782910152,21.4251363466
545205,545205,22.3041320425,114.1783237856,6.9495379505
545206,545206,22.3041294190,114.1783664580,7.3304372916
545207,545207,22.3041218322,114.1783246635,7.8607923126
545208,545208,22.3041267191,114.1783340290,19.3472627323
545209,545209,22.3038658722,114.1803522916,-556.9983311782
545210,545210,22.3041556934,114.1783547332,14.7074696711
545211,545211,22.3041790293,114.1784091529,6.6157109741
545212,545212,22.3042205659,114.1784497432,-6.5086245090
545213,545213,22.3042042732,114.1784388862,-2.5574233521
545214,545214,22.3040289355,114.1781458421,53.7742914448
545215,545215,22.3041688374,114.1783201434,25.1190077791
545216,545216,22.3041703608,114.1783805005,-2.8276779890
545217,545217,22.3041501889,114.1783348364,8.2724128048
545218,545218,22.3041608800,114.1783627513,10.7231580056
545219,545219,22.3041874224,114.1783841656,12.7986532258
545220,545220,22.3041729388,114.1782948930,21.5391539639
545221,545221,22.3041630282,114.1782682216,21.9477902559
545222,545222,22.3041757295,114.1782837946,11.8478619642
545223,545223,22.3041835549,114.1782645698,15.0188272711
545224,545224,22.3041830927,114.1782455743,11.6607902075
545225,545225,22.3041859017,114.1782506753,7.8040409184
545226,545226,22.3034973310,114.1806551235,-610.5087733257
545227,545227,22.3041753591,114.1781687542,10.2995968266
545228,545228,22.3041777445,114.1781291226,10.5879503165
545229,545229,-nan,-nan,-6292741.6544055268
545230,545230,22.3041856069,114.1782034082,10.8224966845
545231,545231,22.3041854323,114.1780215232,-4.8430414630
545232,545232,22.3041648564,114.1783441720,12.9062156716
545233,545233,22.3040109795,114.1781610270,46.1788887370
545234,545234,22.3041098525,114.1782264860,17.3852096591
545235,545235,22.3041074422,114.1782667331,11.5596509421
545236,545236,22.3041232096,114.1782077369,11.8091228487
545237,545237,-nan,-nan,-6292741.6544055268
545238,545238,-nan,-nan,-6292741.6544055268
545239,545239,-nan,-nan,-6292741.6544055268
545240,545240,-nan,-nan,-6292741.6544055268
545241,545241,-nan,-nan,-6292741.6544055268
545242,545242,-nan,-nan,-6292741.6544055268
545243,545243,-nan,-nan,-6292741.6544055268
545244,545244,-nan,-nan,-6292741.6544055268
545245,545245,-nan,-nan,-6292741.6544055268
545246,545246,-nan,-nan,-6292741.6544055268
545247,545247,22.3041762053,114.1786355785,-29.2472135329
545248,545248,-nan,-nan,-6292741.6544055268
545249,545249,22.3040804701,114.1785722471,10.4688060939
545250,545250,22.3040797311,114.1780408102,50.4677124786
545251,545251,22.3041307579,114.1785051823,4.6345564603
545252,545252,22.3041030401,114.1784935848,20.0225148690
545253,545253,22.3041252420,114.1784499341,16.1283851033
545254,545254,22.3041333625,114.1783383256,20.9625240660
545255,545255,22.3041162973,114.1783453690,27.8197628047
545256,545256,22.3040756467,114.1781261640,53.2947921191
545257,545257,22.3040729452,114.1781482914,50.6390373496
545258,545258,22.3041151955,114.1783755600,32.7155714464
545259,545259,22.3040867437,114.1781746222,45.7370548122
545260,545260,22.3040542491,114.1779805282,63.7314328547
545261,545261,22.3041587961,114.1784570835,6.3345061212
545262,545262,22.3041385858,114.1782474733,14.8909123713
545263,545263,22.3041202771,114.1781755683,33.1000595693
545264,545264,22.3041554154,114.1783212723,8.0782932307
545265,545265,22.3041758950,114.1784227872,-4.6620721593
545266,545266,22.3041864079,114.1784946765,-13.0308560810
545267,545267,22.3041949460,114.1786161020,-22.7000250655
545268,545268,22.3041613564,114.1785561813,-4.3194076596
545269,545269,22.3041488784,114.1782713632,17.4941468675
545270,545270,22.3041022468,114.1780073534,39.4484144226
545271,545271,22.3042088920,114.1785658095,-16.4961840531
545272,545272,22.3042139375,114.1785292087,-11.3930576722
545273,545273,22.3042081786,114.1785427245,-2.2185019338
545274,545274,22.3042112834,114.1785376691,-0.8911586597
545275,545275,22.3042071952,114.1785764925,-4.9014937550
545276,545276,22.3042137170,114.1784897601,-9.6792605798
545277,545277,2.9975554855,92.0185085512,29216194.3803407289
545278,545278,3.0018085112,92.0166750413,29207024.5410830639
545279,545279,22.3041915157,114.1784222721,2.4774695663
545280,545280,22.3041599586,114.1783502014,14.3943597942
545281,545281,22.3041286473,114.1782481832,25.8531617973
545282,545282,22.3041408149,114.1781709903,23.8999670611
545283,545283,22.3041963758,114.1783918301,-4.8649240733
545284,545284,22.3041988794,114.1784194283,-9.6032116587
545285,545285,22.3041972871,114.1784187280,-10.0212268843
545286,545286,22.3041638544,114.1784662709,2.1285979759
545287,545287,22.3040629575,114.1782974093,39.0996605837
545288,545288,22.3041283979,114.1783670536,17.8670902824
545289,545289,22.3040994231,114.1783373733,30.3630919472
545290,545290,22.3041830328,114.1786369737,-22.3545272031
545291,545291,22.3041758429,114.1786271371,-17.2377116104
545292,545292,22.3042115048,114.1786227006,-31.8575983151
545293,545293,22.3042233383,114.1784782840,-16.2569875877
545294,545294,22.3042053420,114.1784958832,-9.7692982226
545295,545295,22.3041725120,114.1785008964,3.8018470707
545296,545296,22.3042018455,114.1784394770,-7.8450252221
545297,545297,22.3041886839,114.1784297274,3.5168156853
545298,545298,22.3041878278,114.1784141448,10.8765372901
545299,545299,22.3042107613,114.1783908969,-5.0625623925
545300,545300,22.3041861139,114.1783919293,3.5268356091
545301,545301,22.3041970735,114.1784218747,-8.0844372540
545302,545302,22.3042440091,114.1776764568,34.4486489944
545303,545303,-nan,-nan,-6292741.6544055268
545304,545304,-nan,-nan,-6292741.6544055268
545305,545305,22.3041831209,114.1784145749,-6.6648549275
545306,545306,22.3041794459,114.1783817891,1.7787834810
