442082.700000,2131,22,18,05.60038,114,11,25.11967,1.808,0.000,0.000,0.002,-0.003,-0.004,3,-0.86990,-1.92010,312.93710
442082.800000,2131,22,18,05.60038,114,11,25.11967,1.808,0.000,0.000,0.002,-0.004,-0.005,3,-0.87450,-1.91780,312.93730
442082.900000,2131,22,18,05.60037,114,11,25.11967,1.808,0.000,0.000,0.002,-0.004,-0.005,3,-0.90590,-1.90760,312.93860
442083.000000,2131,22,18,05.60036,114,11,25.11968,1.808,0.000,0.000,0.002,-0.004,-0.005,3,-0.92650,-1.89750,312.93970
442083.100000,2131,22,18,05.60035,114,11,25.11968,1.807,0.000,0.000,0.003,-0.003,-0.005,3,-0.95050,-1.88760,312.94090
442083.200000,2131,22,18,05.60035,114,11,25.11968,1.807,0.000,0.000,0.003,-0.003,-0.003,3,-0.93070,-1.88980,312.94100
442083.300000,2131,22,18,05.60034,114,11,25.11969,1.807,0.000,0.000,0.004,-0.003,-0.003,3,-0.86900,-1.90960,312.94010
442083.400000,2131,22,18,05.60034,114,11,25.11970,1.807,0.000,0.000,0.004,-0.002,-0.003,3,-0.77860,-1.93810,312.93870
442083.500000,2131,22,18,05.60034,114,11,25.11971,1.807,0.000,0.000,0.005,-0.003,-0.004,3,-0.74380,-1.95120,312.93760
442083.600000,2131,22,18,05.60033,114,11,25.11972,1.807,0.000,0.000,0.004,-0.004,-0.005,3,-0.75020,-1.94820,312.93750
442083.700000,2131,22,18,05.60033,114,11,25.11973,1.807,0.000,0.000,0.005,-0.003,-0.004,3,-0.74760,-1.95050,312.93750
442083.800000,2131,22,18,05.60033,114,11,25.11975,1.807,0.000,0.000,0.005,-0.003,-0.005,3,-0.71990,-1.96040,312.93720
442083.900000,2131,22,18,05.60032,114,11,25.11976,1.807,0.000,0.000,0.005,-0.003,-0.006,3,-0.69700,-1.96680,312.93670
442084.000000,2131,22,18,05.60031,114,11,25.11977,1.807,0.000,0.000,0.005,-0.004,-0.007,3,-0.70750,-1.96470,312.93660
442084.100000,2131,22,18,05.60031,114,11,25.11978,1.806,0.000,0.000,0.005,-0.004,-0.007,3,-0.74490,-1.95620,312.93720
442084.200000,2131,22,18,05.60030,114,11,25.11979,1.806,0.000,0.000,0.005,-0.005,-0.007,3,-0.75770,-1.95120,312.93760
442084.300000,2131,22,18,05.60029,114,11,25.11980,1.806,0.000,0.000,0.005,-0.005,-0.007,3,-0.77370,-1.94860,312.93770
442084.400000,2131,22,18,05.60028,114,11,25.11981,1.805,0.000,0.000,0.005,-0.007,-0.006,3,-0.74800,-1.95030,312.93640
442084.500000,2131,22,18,05.60027,114,11,25.11982,1.805,0.000,0.000,0.005,-0.004,-0.007,3,-0.74940,-1.94160,312.93650
