1623297149.13897467,2161,359567.13897467,22.33046421,114.18075768,16.69489457,0.06172596,-0.16521177,-0.98373623,0.03402958
1623297149.27538729,2161,359567.27538729,22.33046898,114.18075492,16.45715007,0.06038804,-0.16698607,-0.98321602,0.04189513
1623297149.40642357,2161,359567.40642357,22.33046835,114.18075509,16.48322523,0.05860466,-0.16877944,-0.98258727,0.05100251
1623297149.54166794,2161,359567.54166794,22.33046755,114.18075538,16.51935546,0.05585251,-0.16967569,-0.98181604,0.06424885
1623297149.67627335,2161,359567.67627335,22.33046649,114.18075589,16.56194910,0.05243324,-0.17083938,-0.98067315,0.07965446
1623297149.80766177,2161,359567.80766177,22.33046526,114.18075658,16.61200770,0.04854332,-0.17271201,-0.97908585,0.09594275
1623297149.94026566,2161,359567.94026566,22.33046383,114.18075733,16.65859663,0.04531828,-0.17362339,-0.97710165,0.11433959
1623297150.07318616,2161,359568.07318616,22.33046220,114.18075824,16.70619361,0.04212666,-0.17339957,-0.97477699,0.13404386
1623297150.20953512,2161,359568.20953512,22.33045983,114.18075953,16.77020256,0.03881213,-0.16760402,-0.97287451,0.15465346
1623297150.34105492,2161,359568.34105492,22.33045795,114.18076060,16.82802043,0.03784748,-0.16551113,-0.97027075,0.17247700
1623297150.47368717,2161,359568.47368717,22.33045611,114.18076162,16.89392296,0.03679120,-0.16579512,-0.96723858,0.18870061
1623297150.60814857,2161,359568.60814857,22.33045408,114.18076283,16.98036853,0.03237958,-0.16515374,-0.96449858,0.20351486
1623297150.74248838,2161,359568.74248838,22.33045257,114.18076374,17.07067891,0.02764342,-0.16470725,-0.96189223,0.21649642
1623297150.87518144,2161,359568.87518144,22.33045166,114.18076412,17.15121635,0.02674291,-0.16757289,-0.95901634,0.22691805
1623297151.01094484,2161,359569.01094484,22.33045120,114.18076412,17.22660628,0.02851132,-0.17028902,-0.95706905,0.23282525
1623297151.14285445,2161,359569.14285445,22.33045081,114.18076404,17.28848996,0.02880175,-0.17170101,-0.95604195,0.23595129
1623297151.27666998,2161,359569.27666998,22.33045037,114.18076402,17.35495782,0.02752070,-0.17322511,-0.95555709,0.23695215
1623297151.41105103,2161,359569.41105103,22.33044980,114.18076409,17.43232779,0.02629882,-0.17358542,-0.95535060,0.23765880
1623297151.54331231,2161,359569.54331231,22.33044877,114.18076456,17.53212539,0.02667805,-0.17204246,-0.95541782,0.23846691
1623297151.68132496,2161,359569.68132496,22.33044768,114.18076485,17.63488748,0.02784096,-0.17186780,-0.95592528,0.23641744
1623297151.80989480,2161,359569.80989480,22.33044680,114.18076521,17.74017448,0.02774082,-0.17124783,-0.95672818,0.23361466
1623297151.94482803,2161,359569.94482803,22.33044589,114.18076550,17.84998538,0.02756517,-0.17003174,-0.95807245,0.22896847
1623297152.07737756,2161,359570.07737756,22.33044513,114.18076555,17.96136300,0.02848612,-0.16884796,-0.95980589,0.22237706
1623297152.21168137,2161,359570.21168137,22.33044447,114.18076547,18.08619091,0.02993497,-0.16764536,-0.96203784,0.21326540
1623297152.34395170,2161,359570.34395170,22.33044379,114.18076544,18.21578776,0.03009609,-0.16701843,-0.96420515,0.20373388
1623297152.47841716,2161,359570.47841716,22.33044287,114.18076556,18.35520374,0.03013778,-0.16593577,-0.96667121,0.19262349
1623297152.61064649,2161,359570.61064649,22.33044171,114.18076574,18.51658059,0.03104366,-0.16469741,-0.96904945,0.18125731
1623297152.74414849,2161,359570.74414849,22.33044042,114.18076592,18.68137175,0.03251425,-0.16451176,-0.97138240,0.16821098
1623297152.87908483,2161,359570.87908483,22.33043908,114.18076607,18.85347395,0.03445912,-0.16325660,-0.97384884,0.15420211
1623297153.01137328,2161,359571.01137328,22.33043786,114.18076609,19.03309735,0.03647167,-0.16156411,-0.97608302,0.14081476
1623297153.14578700,2161,359571.14578700,22.33043620,114.18076624,19.23349880,0.03838531,-0.15973267,-0.97824706,0.12666783
1623297153.28069425,2161,359571.28069425,22.33043459,114.18076626,19.41711296,-0.04131302,0.15807046,0.97995168,-0.11402488
1623297153.41460490,2161,359571.41460490,22.33043304,114.18076623,19.60602252,-0.04422583,0.15622695,0.98149268,-0.10153487
1623297153.54561591,2161,359571.54561591,22.33043150,114.18076621,19.80370545,-0.04689511,0.15509114,0.98262690,-0.09050947
1623297153.68075323,2161,359571.68075323,22.33042974,114.18076631,20.00248712,-0.04821844,0.15303457,0.98376957,-0.08032951
1623297153.81496716,2161,359571.81496716,22.33042793,114.18076652,20.19169989,-0.04816031,0.15200265,0.98462509,-0.07133872
1623297153.94693899,2161,359571.94693899,22.33042630,114.18076664,20.36383870,-0.04854062,0.15000162,0.98538992,-0.06442068
1623297154.08114791,2161,359572.08114791,22.33042471,114.18076668,20.52579563,-0.04917616,0.14791154,0.98599266,-0.05934939
1623297154.21572685,2161,359572.21572685,22.33042309,114.18076676,20.67918807,-0.04948451,0.14576237,0.98656754,-0.05467271
1623297154.34713602,2161,359572.34713602,22.33042155,114.18076686,20.83787617,-0.04950090,0.14303974,0.98714625,-0.05129883
1623297154.48493409,2161,359572.48493409,22.33042023,114.18076671,20.97251842,-0.05064478,0.14086100,0.98750197,-0.04932700
1623297154.61577272,2161,359572.61577272,22.33041876,114.18076676,21.10564488,-0.05153936,0.13875855,0.98790090,-0.04627702
1623297154.74750328,2161,359572.74750328,22.33041741,114.18076670,21.22107845,-0.05140911,0.13687810,0.98828762,-0.04369294
1623297154.88233733,2161,359572.88233733,22.33041590,114.18076682,21.34086534,-0.05103296,0.13502989,0.98870775,-0.04024356
