110979,110979,22.3131571857,114.1702626071,32.5301698387
110980,110980,22.3130546661,114.1703409662,23.5306422399
110981,110981,22.3130696495,114.1703275082,24.4266395958
110982,110982,22.3130706351,114.1703068717,25.6097437745
110983,110983,22.3130795248,114.1702921594,22.7491093309
110984,110984,22.3130588246,114.1702544056,19.7872872182
110985,110985,22.3131304292,114.1702258677,18.8698829862
110986,110986,22.3131216323,114.1702155647,17.6054373433
110987,110987,22.3130982076,114.1702386482,18.6163198869
110988,110988,22.3131294855,114.1702374532,20.0114676688
110989,110989,22.3131066615,114.1702439824,21.1100205686
110990,110990,22.3131275214,114.1702208590,21.1070982014
110991,110991,22.3131504240,114.1702349936,24.3787422808
110992,110992,22.3131574064,114.1702318557,23.3725076835
110993,110993,22.3131385293,114.1702425935,22.9337845082
110994,110994,22.3131467598,114.1702444746,24.4470070451
110995,110995,22.3132106023,114.1702605437,27.4076647603
110996,110996,22.3132021912,114.1702839726,27.1324526151
110997,110997,22.3131912471,114.1702958026,29.2677825094
110998,110998,22.3131750524,114.1703236202,28.9036042062
110999,110999,22.3131480494,114.1703092856,31.4976201664
111000,111000,22.3131551401,114.1703160431,33.1729923331
111001,111001,22.3133047572,114.1703074115,40.9583180668
111002,111002,22.3133886444,114.1702875053,45.6843174233
111003,111003,22.3134410429,114.1702895003,50.2396975283
111004,111004,22.3134672413,114.1702919369,53.0633420606
111005,111005,22.3134313827,114.1702917161,51.8520984938
111006,111006,22.3134209147,114.1703196365,53.8830175936
111007,111007,22.3134090703,114.1702994047,55.7716515355
111008,111008,22.3133825512,114.1702942428,58.6740872075
111009,111009,22.3133659119,114.1702883985,60.7289166837
111010,111010,22.3133485226,114.1702795967,60.4031634489
111011,111011,22.3133359469,114.1702752353,62.6747717401
111012,111012,22.3133205580,114.1702781484,64.0528780669
111013,111013,22.3133138059,114.1702816257,63.6773611931
111014,111014,22.3133496584,114.1702800891,66.3432666275
111015,111015,22.3133788170,114.1702974705,67.9259808409
111016,111016,22.3133967546,114.1703184954,69.1819992992
111017,111017,22.3134093496,114.1703206019,71.8877090701
111018,111018,22.3134102904,114.1703175432,75.7787933059
111019,111019,22.3134235438,114.1703253406,78.4484216413
111020,111020,22.3134254031,114.1703358323,80.5903331522
111021,111021,22.3134118672,114.1703451772,85.1480674471
111022,111022,22.3134234693,114.1703573963,85.8012789299
111023,111023,22.3134247864,114.1703640592,89.6012127763
111024,111024,22.3134280482,114.1703895183,90.2753662075
111025,111025,22.3134494041,114.1704006518,92.6338474960
111026,111026,22.3134615692,114.1704148588,95.0520104076
111027,111027,22.3134781116,114.1704274331,96.1616893172
111028,111028,22.3134931059,114.1704308410,95.4184922200
111029,111029,22.3135177821,114.1704333354,94.7901068983
111030,111030,22.3135297097,114.1704317403,93.2916723072
111031,111031,22.3135381191,114.1704417921,91.7029828109
111032,111032,22.3135559941,114.1704360974,90.6976845075
111033,111033,22.3135555318,114.1704297113,90.4855032272
111034,111034,22.3134739742,114.1704598327,83.8127717150
111035,111035,22.3134308330,114.1704848670,80.2677630119
111036,111036,22.3133993691,114.1704999654,79.0013848012
111037,111037,22.3133846539,114.1705066103,76.7018906470
111038,111038,22.3133497678,114.1704262101,73.1336969782
111039,111039,22.3133442949,114.1704160502,74.7589086673
111040,111040,22.3133420144,114.1704570698,74.3077035065
111041,111041,22.3133030185,114.1704006145,71.7489907676
111042,111042,22.3133061766,114.1704150227,75.1964713633
111043,111043,22.3133088705,114.1704287739,76.6274285000
111044,111044,22.3133219163,114.1704105590,74.7720790619
111045,111045,22.3133225489,114.1704193263,72.8773418511
111046,111046,22.3133361313,114.1704054837,71.7676055576
111047,111047,22.3133350495,114.1704020091,72.1674887735
111048,111048,22.3133338567,114.1703885934,72.2577220693
111049,111049,22.3132521156,114.1704703397,76.1403629692
111050,111050,22.3132709740,114.1703920161,72.5837300181
111051,111051,22.3132859993,114.1703599149,68.8046866001
111052,111052,22.3132896867,114.1703377643,65.6668066963
111053,111053,22.3132970626,114.1703193649,64.9336643019
111054,111054,22.3132888688,114.1703192329,65.3850729159
111055,111055,22.3131972255,114.1704296084,71.4600619357
111056,111056,22.3131580437,114.1705113439,75.9733678369
111057,111057,22.3132041370,114.1704289626,74.1290609326
111058,111058,22.3132341924,114.1704541941,70.1403890675
111059,111059,22.3132572899,114.1704546167,66.7617259008
111060,111060,22.3132176664,114.1704145214,61.7045239576
111061,111061,22.3131776795,114.1703832339,55.8097580633
111062,111062,22.3132111054,114.1703401099,57.0481506496
111063,111063,22.3131707655,114.1703408845,51.3086508434
111064,111064,22.3131156991,114.1703321406,47.4161821567
111065,111065,22.3130682697,114.1703305058,42.5279268989
111066,111066,22.3131953282,114.1703396929,49.1781796200
111067,111067,22.3132851880,114.1703620858,55.1448504524
111068,111068,22.3132144253,114.1703662811,51.6767241944
111069,111069,22.3132963558,114.1703827918,57.2729891753
111070,111070,22.3133683444,114.1703895982,62.7635768564
111071,111071,22.3132930635,114.1703879355,59.3914648990
111072,111072,22.3132258851,114.1703844965,56.4027014654
111073,111073,22.3133254454,114.1703888216,62.2281512295
111074,111074,22.3132668180,114.1703849737,57.4946431693
111075,111075,22.3132131282,114.1703658583,52.4416438653
111076,111076,22.3131698961,114.1703537294,46.8163753971
111077,111077,22.3131256402,114.1703500648,43.6416336283
111078,111078,22.3132722353,114.1703552488,51.3906320983
111079,111079,22.3133511008,114.1703600862,58.5726418946
111080,111080,22.3134183919,114.1703679648,62.9079558306
111081,111081,22.3134604352,114.1703625408,65.8815088228
